id_cliente,nombre,email,pais,ciudad,fecha_cumpleaños
48,Carmen Vélez León,uruano@hotmail.com,Colombia,Bogotá,27/3/1976
49,Emilio Sanmartín Hervás,bnavarrete@yahoo.com,Colombia,Bucaramanga,16/9/1992
50,Galo Jordán,silvia94@hotmail.com,Colombia,Medellín,13/7/1972
51,Dionisio Ramos Torres,ctudela@buendia.net,Colombia,Barranquilla,2/2/1976
52,Natanael Luis Ángel Peinado Sáenz,wmuro@hotmail.com,Colombia,Cali,25/5/1980
53,David Carrillo-Fernández,estevegregorio@gmail.com,Colombia,Cali,27/8/1999
54,María Luna,manugordillo@escobar-mate.com,Colombia,Bogotá,18/8/1962
55,Leonel Manzano Cases,alberolaconsuela@yahoo.com,Colombia,Cali,3/7/1989
56,Catalina Aznar Iriarte,bassalvador@yahoo.com,Colombia,Bogotá,13/5/2002
57,Carlos Company Mateu,diegorico@gonzalez.es,Colombia,Barranquilla,31/7/1999
58,Encarnación Barrena Cabezas,juan-luisbertran@heredia.com,Colombia,Barranquilla,1/5/1987
59,Noemí Soriano Manuel,luisluna@santiago.org,Colombia,Medellín,5/5/1967
60,Coral de Larrañaga,barredafito@malo-saavedra.com,Colombia,Bucaramanga,23/3/1980
61,Elena Vall Uribe,arinotamara@yahoo.com,Colombia,Bucaramanga,26/7/1976
62,Artemio Granados Almansa,diezadoracion@hotmail.com,Colombia,Medellín,18/11/1971
63,Isa Téllez-Bou,sebastian55@hotmail.com,Colombia,Bogotá,22/12/1981
64,Nélida Valbuena Maldonado,sanzchus@yahoo.com,Colombia,Cali,3/6/1967
65,Teresa Vilar Abella,mballester@hotmail.com,Colombia,Medellín,15/6/1993
66,Pía Aznar Frutos,aureamaestre@yahoo.com,Colombia,Medellín,30/6/1961
67,Rosalía Dafne Cuadrado Mercader,obuendia@serrano.com,Colombia,Medellín,24/5/1979
68,Olalla Llano,psureda@yahoo.com,Colombia,Medellín,2/7/1972
69,Liliana Piedad Cerezo Baños,ynieto@hotmail.com,Colombia,Bucaramanga,12/10/1978
70,Silvio Lázaro Tovar Comas,vochoa@hotmail.com,Colombia,Barranquilla,5/6/1981
71,Paco Haro,robertareig@gmail.com,Colombia,Barranquilla,19/9/1991
72,Gabriela Cornejo Valbuena,animarmol@sacristan.es,Colombia,Barranquilla,5/5/1969
73,Tomasa Cortes Benavides,nilo96@hotmail.com,Colombia,Bogotá,3/6/2005
74,Fortunata del Torrents,guitartevangelina@madrigal.es,Colombia,Bucaramanga,28/8/2002
75,Iván Delgado Marí,moratanatividad@marcos.es,Colombia,Medellín,24/2/1976
76,Guiomar Escolano,cayetanopineiro@hernando.net,Colombia,Bogotá,24/10/1976
77,Dominga Agustí Sola,candelariosala@yahoo.com,Colombia,Bogotá,28/5/1988
78,Javier Matas-Flor,pcampillo@yahoo.com,Colombia,Cali,31/8/1979
79,Aitor Severino Priego Llobet,valdespepita@grau-ortuno.net,Colombia,Medellín,2/8/1976
80,Mauricio Caballero Ariza,laragones@yahoo.com,Colombia,Barranquilla,13/8/1979
81,Piedad Ribes Echevarría,miriampaz@valls.org,Colombia,Medellín,13/8/1979
82,Rosaura Cardona Solís,mariselagonzalez@puerta.es,Colombia,Cali,17/1/1996
83,Javi Pedrosa Juárez,candido37@gmail.com,Colombia,Bucaramanga,6/8/1974
84,Maximino Simó Matas,chavesartemio@gmail.com,Colombia,Barranquilla,8/6/1967
85,Desiderio Cerdá Pont,herminia86@hotmail.com,Colombia,Barranquilla,6/2/2004
86,Sigfrido Tovar Raya,pellicerisaac@yahoo.com,Colombia,Bucaramanga,18/3/1984
87,Olegario Pedrero Palmer,mllorente@sanz.net,Colombia,Medellín,24/3/1982
88,Bernardino de Bayona,odalisguijarro@coloma-acedo.org,Colombia,Bogotá,17/4/1996
89,Sabas Díaz-Canet,albinopalma@morante.com,Colombia,Bucaramanga,27/2/1968
90,Lucila Carballo Bartolomé,gparedes@hotmail.com,Colombia,Bogotá,25/10/1993
91,Marino de Vázquez,danguita@yahoo.com,Colombia,Bucaramanga,22/3/2006
92,Jose Luis Salcedo Beltrán,ema21@llopis.es,Colombia,Barranquilla,21/8/1995
93,Javi José Antonio Ros Cabezas,titosanmiguel@riba.es,Colombia,Cali,1/1/1966
94,Inmaculada Milla Jara,jacintasanchez@gmail.com,Colombia,Bogotá,16/11/1965
95,Ariadna Peralta Castillo,herminia16@rocha-aznar.org,Colombia,Medellín,1/8/1966
96,Lilia Garcia-Cortes,rebecacampoy@yahoo.com,Colombia,Barranquilla,27/6/1978
97,Coral Romeu-Amo,escribanoleandro@hotmail.com,Colombia,Bogotá,2/6/1983
98,Cipriano Clemente Pérez,manuanglada@garrido.es,Colombia,Cali,30/3/1970
99,Esperanza Morata Blazquez,faustoayala@bilbao.es,Colombia,Cali,12/8/1989
100,Elena Garriga Vila,tito14@torrecilla.com,Colombia,Cali,25/4/2000
101,Abraham Fuente Mata,maria-cristinajaume@mosquera-carretero.com,Colombia,Bucaramanga,1/11/1988
102,Berto Pinto Grau,puertarosalva@hotmail.com,Colombia,Medellín,21/10/1960
103,Águeda Bermejo Millán,srios@gmail.com,Colombia,Bucaramanga,19/8/1981
104,Salvador Seguí Paredes,pcamacho@perez-zamora.com,Colombia,Barranquilla,20/8/1982
105,Flavio de Benito,vicentaolmedo@coloma-guzman.com,Colombia,Cali,15/12/1972
106,Marcial Coronado Benet,wsimo@sanchez.com,Colombia,Medellín,11/6/1991
107,Melania Mateo Llobet,anunciacion14@sans-arellano.com,Colombia,Medellín,2/10/1964
108,Marino Vendrell Planas,sandovalvioleta@hotmail.com,Colombia,Bogotá,13/9/2000
109,Leyre Contreras Barrio,nunezlidia@gmail.com,Colombia,Bogotá,22/5/1976
110,Isabel Zamora Yáñez,ramon46@neira-badia.es,Colombia,Bucaramanga,17/12/1965
111,Nidia del Luz,nazariobertran@hotmail.com,Colombia,Medellín,22/8/1980
112,Belén Blazquez Menendez,odalis28@gmail.com,Colombia,Bucaramanga,26/2/1984
113,Gerardo Mendizábal Escribano,maria-dolores73@cervantes.com,Colombia,Bogotá,31/5/1966
114,Regina Zurita,sarita92@penas.com,Colombia,Bogotá,25/4/1989
115,Hernán Pastor Gámez,marina73@hotmail.com,Colombia,Bucaramanga,13/6/1991
116,Gerónimo Saez,mayte68@hotmail.com,Colombia,Barranquilla,13/2/1973
117,Bernardita Trini Ibáñez Azorin,casandra18@gmail.com,Colombia,Bucaramanga,10/6/1970
118,Jafet Vilanova-Colom,gironaolga@yahoo.com,Colombia,Medellín,7/10/1987
119,Hector Vallés Pereira,xbilbao@anaya.com,Colombia,Cali,21/6/1969
120,Alejo Madrid Sureda,nsanabria@bernad.org,Colombia,Medellín,16/11/1996
121,Lucía Ileana Cantero Maldonado,domingo03@sebastian-barros.com,Colombia,Bucaramanga,4/1/1996
122,Maximiano Villalba Herranz,timoteo09@hernandez-riera.com,Colombia,Medellín,26/1/1984
123,Juan José Vera Vera,csoriano@pombo.com,Colombia,Barranquilla,17/2/1964
124,Dalila Calleja Márquez,ortunocarina@diez-sobrino.es,Colombia,Cali,15/9/1968
125,Pepito Seco Arco,armandoflores@gmail.com,Colombia,Barranquilla,8/8/1994
126,Sabina Sáenz Isern,luchopalau@marmol.com,Colombia,Bucaramanga,2/10/1986
127,Visitación Pomares Nicolau,xvalencia@lasa.com,Colombia,Barranquilla,24/10/1971
128,Emilia del Calderon,gertrudis44@rojas-diaz.es,Colombia,Barranquilla,31/5/1962
129,María Luisa Royo Llobet,ramisprudencio@cuesta.es,Colombia,Bogotá,9/2/1964
130,Roque del Paredes,corraliris@yahoo.com,Colombia,Bogotá,28/9/1989
131,Luciano Cervantes Ávila,pmiralles@yahoo.com,Colombia,Bogotá,18/4/1961
132,Josep Villaverde Pombo,matilde47@machado.es,Colombia,Medellín,7/10/1968
133,Jaime Duque Salgado,guadalupe51@manrique.com,Colombia,Bogotá,16/10/1974
134,Cornelio Chamorro Guzmán,paniaguacasandra@hotmail.com,Colombia,Bogotá,26/1/1997
135,Mariano Boix Bastida,htejero@yahoo.com,Colombia,Bogotá,20/7/1964
136,Federico Benavent Sandoval,eduardo89@gmail.com,Colombia,Barranquilla,1/10/1993
137,Severo Casanova Villegas,fidel25@gomis.org,Colombia,Medellín,21/11/1972
138,Eli de Mateo,doracorrea@nebot.com,Colombia,Cali,16/8/1962
139,Dulce Galvez-Riera,pmanjon@tomas-hierro.es,Colombia,Medellín,30/6/1964
140,Cayetano Sabater Ricart,vfrias@hotmail.com,Colombia,Barranquilla,5/4/1981
141,Gloria Castrillo Pellicer,jose-antonio71@sancho-huguet.com,Colombia,Cali,13/4/1979
142,Teresa Ripoll Hurtado,crescencia53@valentin.es,Colombia,Bogotá,18/5/1993
143,Artemio Pozuelo Vega,ildefonsoosorio@gmail.com,Colombia,Bogotá,17/3/1993
144,Vera Soledad Sosa Macias,rosaeloy@paz-quintana.es,Colombia,Barranquilla,5/1/1963
145,Mar Ferreras-Pareja,pomaresanna@yahoo.com,Colombia,Medellín,31/10/2005
146,Azahara Belen Caballero Prada,celestina52@gmail.com,Colombia,Medellín,9/4/1962
147,Alejo Cerro Mínguez,mcompany@hotmail.com,Colombia,Medellín,1/4/2001
148,Candelas Pozo Martínez,emari@gmail.com,Colombia,Medellín,20/5/2005
149,Horacio Mena Amor,gabriela99@gmail.com,Colombia,Medellín,23/3/1992
150,Juan Francisco Pinto Coloma,canetgraciano@sainz.es,Colombia,Barranquilla,9/7/2006
151,Hernán Valls,cerveraaurelia@gmail.com,Colombia,Cali,31/1/1992
152,Florina Mir,inoriega@lamas-tome.net,Colombia,Medellín,5/7/1997
153,Daniel Eustaquio Malo Galan,alexandra58@hotmail.com,Colombia,Barranquilla,29/10/1967
154,Nicolasa Pino-Prat,luis-angelarnal@yahoo.com,Colombia,Bogotá,20/8/1989
155,Raúl Tello-Gargallo,chita42@heras.com,Colombia,Bucaramanga,18/5/1975
156,Aureliano Reyes Murillo,cervantesadelardo@hotmail.com,Colombia,Bucaramanga,17/12/2003
157,Judith Flores Madrigal,flavia01@hotmail.com,Colombia,Cali,26/1/1962
158,Horacio Echeverría Arce,vestrada@yahoo.com,Colombia,Bucaramanga,2/11/1979
159,María Cristina Campo-Naranjo,fzamora@gmail.com,Colombia,Cali,26/8/1972
160,Fito Cámara Segarra,albertonavas@yahoo.com,Colombia,Bogotá,8/2/2001
161,Sarita Roma Villalba,perezhaydee@gmail.com,Colombia,Bogotá,9/1/1992
162,Diana Agudo Julián,victorianolasa@yahoo.com,Colombia,Bogotá,7/7/1998
163,Eladio Palomares Guzman,solanamarino@ramirez.org,Colombia,Cali,11/8/1979
164,María Luisa Giner Gilabert,dcoronado@pereira.net,Colombia,Bucaramanga,29/1/2000
165,Juan José Salom Álvarez,caparrosbernabe@hotmail.com,Colombia,Medellín,19/1/1996
166,Celestino Mosquera Viña,fuertesliliana@hotmail.com,Colombia,Cali,6/4/1994
167,Rufina Baquero Santana,ksaura@sevilla.org,Colombia,Bogotá,5/11/1976
168,Ramón Gibert Beltran,socana@barrena.es,Colombia,Barranquilla,10/5/1987
169,Rodrigo Cerdá Rivera,ysanabria@yahoo.com,Colombia,Medellín,25/7/2004
170,Benita del Carrasco,iangel@gisbert.org,Colombia,Cali,31/7/1996
171,Luisina Pinilla Gras,joliva@fabregat-carbajo.com,Colombia,Barranquilla,5/8/1960
172,Cristian de Cabrero,patienza@arregui.net,Colombia,Medellín,16/5/1963
173,José Mancebo Guillén,jordi42@hotmail.com,Colombia,Bogotá,24/12/1979
174,Américo Díez-Roldán,ocanafernanda@hotmail.com,Colombia,Cali,22/3/1995
175,Obdulia Rico Real,renato28@hernando-gomis.org,Colombia,Bucaramanga,15/1/1991
176,Lisandro Rey Riera,qherrero@murillo.com,Colombia,Bucaramanga,28/10/1965
177,Paloma de Aznar,eariza@gmail.com,Colombia,Cali,29/9/1973
178,Encarnacion Alcántara Galán,tejeroyaiza@fuente.net,Colombia,Bucaramanga,17/10/1978
179,Josefa Palomar Mendez,armida77@gmail.com,Colombia,Barranquilla,28/4/1981
180,Gil Milla,giraltmanuela@gmail.com,Colombia,Bucaramanga,8/3/1997
181,Marina Rios-Marquez,narcisograu@hoyos-valera.es,Colombia,Bucaramanga,12/10/1992
182,Jimena Diéguez Ortuño,lolatorres@barral.com,Colombia,Bucaramanga,31/10/1962
183,Hilario Cervantes Guardia,agapitogil@sarmiento.es,Colombia,Bogotá,25/12/1959
184,Mamen del Albero,blanca40@ros.com,Colombia,Bucaramanga,4/8/1972
185,Lucila Dolores Pablo Lastra,pereasantiago@yahoo.com,Colombia,Bogotá,25/11/1974
186,Octavio Severiano Berrocal Angulo,ypinilla@tamarit.com,Colombia,Bogotá,21/1/1989
187,Marcia Bustos Álvarez,hectortalavera@artigas-benavente.org,Colombia,Bogotá,6/12/1980
188,Cristóbal Cobos Puig,fermin93@porcel.com,Colombia,Cali,25/1/1983
189,Augusto Ruiz Guerra,elodia99@morera-andreu.org,Colombia,Bogotá,21/1/1975
190,Manola Perez Rosales,xboada@marquez.com,Colombia,Cali,22/5/1985
191,Rafael Porras Moliner,bravoadelardo@yahoo.com,Colombia,Bogotá,21/11/1977
192,Blas Bonet Exposito,avila@gmail.com,Colombia,Cali,13/8/1983
193,Araceli del Plaza,severiano61@herrero.es,Colombia,Barranquilla,31/10/1977
194,Eloy Jose Manuel Coello Barroso,allorente@tome-benitez.es,Colombia,Medellín,24/1/2002
195,Martirio Ferrán Seco,marcoagudo@marquez-pinto.es,Colombia,Barranquilla,1/11/1988
196,Bernarda Emperatriz Montes Font,galo65@yahoo.com,Colombia,Cali,11/1/1976
197,Florina Lozano Pozo,folchdora@hotmail.com,Colombia,Barranquilla,18/12/1996
198,Prudencio Serrano Gallego,paz16@hotmail.com,Colombia,Bucaramanga,18/8/2002
199,Dionisio Edmundo Correa Rocha,sanchezelba@yahoo.com,Colombia,Bucaramanga,2/1/1994
200,Macaria Arco Palomares,hurtadogema@padilla.es,Colombia,Bogotá,28/10/1988
201,Adelardo Cabello Jordán,victor-manuelperello@sierra-vall.com,Colombia,Barranquilla,20/5/1992
202,Eusebio Ricart Boada,pablomesa@sarabia-gabaldon.es,Colombia,Bucaramanga,5/3/1966
203,Palmira Santamaria Montaña,arsenio10@canales-cordoba.net,Colombia,Cali,6/6/1970
204,Manuelita Roldan Sevilla,lespinosa@rosell.net,Colombia,Bucaramanga,5/10/1988
205,Adela Garmendia Fuster,calnerea@hotmail.com,Colombia,Medellín,18/9/1981
206,Jenaro Carbonell,oalamo@yahoo.com,Colombia,Bogotá,30/3/1986
207,Aurora Oliveras-Ortiz,odalysmartorell@hotmail.com,Colombia,Bogotá,24/8/1968
208,Azahara Gómez Mayoral,raulcid@pont.es,Colombia,Cali,25/8/1992
209,Nélida de Diaz,enrique25@yahoo.com,Colombia,Medellín,8/3/1960
210,Bernarda Ferrero Plana,atellez@hotmail.com,Colombia,Barranquilla,30/11/1970
211,Lorenzo Anguita Giménez,llobetjafet@hotmail.com,Colombia,Bogotá,26/8/1990
212,Perlita Valbuena-Vicente,lealmatilde@pedraza.net,Colombia,Barranquilla,6/1/2004
213,Eustaquio de Sandoval,rosalva17@gmail.com,Colombia,Bogotá,16/7/1999
214,Teodora Roman Daza,odalysgabaldon@orozco.org,Colombia,Bucaramanga,11/6/2007
215,Espiridión Luciano Lastra Vilar,maricelareina@lluch.com,Colombia,Bucaramanga,25/6/1969
216,Saturnina Huertas Pozo,crescencialeiva@hotmail.com,Colombia,Bucaramanga,16/4/1990
217,Maximiliano Buendía Quintana,walter75@hotmail.com,Colombia,Bucaramanga,14/11/1965
218,Mercedes Palma Barroso,timoteogalan@yahoo.com,Colombia,Medellín,30/10/1978
219,Maite Castrillo Toro,arteagaconrado@hotmail.com,Colombia,Bogotá,26/12/1967
220,Isidro Sastre Abascal,jennifercatalan@hotmail.com,Colombia,Cali,6/3/1978
221,Nacio Palomo Ibáñez,graciana20@mayoral-guillen.es,Colombia,Bogotá,3/1/1966
222,Custodio Tapia Bermejo,aureliasalgado@aguilo.es,Colombia,Medellín,5/10/2006
223,Jorge Belda Granados,calatayudcristian@yahoo.com,Colombia,Barranquilla,11/11/1968
224,Remedios Cañas Clavero,cordobavalerio@garces-cordero.es,Colombia,Medellín,6/6/1965
225,Buenaventura Casal Plana,ymiranda@gmail.com,Colombia,Cali,26/5/2003
226,Edelmiro López Amor,auravergara@gmail.com,Colombia,Cali,3/7/2003
227,Ruben Heras Uría,hernandoangelina@hotmail.com,Colombia,Barranquilla,8/5/1960
228,Ester Catalán Pombo,carina27@gmail.com,Colombia,Barranquilla,16/2/1964
229,Eleuterio Garriga Ariño,svelazquez@vallejo.es,Colombia,Barranquilla,17/1/1996
230,María Manuela de Lobato,cayetano83@morillo.com,Colombia,Bogotá,20/4/1989
231,Ambrosio de Boix,santanaemma@hotmail.com,Colombia,Barranquilla,9/11/2004
232,Benito Alberola Cervantes,anabeloliver@villar.es,Colombia,Bucaramanga,27/10/1977
233,Rogelio Andreu Naranjo,azucena14@hotmail.com,Colombia,Medellín,5/7/1990
234,Fernanda Baquero,quirinocriado@yahoo.com,Colombia,Bucaramanga,28/5/2005
235,Danilo Verdú Acedo,hidalgoarturo@pascual-pinol.com,Colombia,Bogotá,25/2/1997
236,Consuelo Montserrat Hurtado,kike19@yahoo.com,Colombia,Bogotá,8/5/2005
237,Chuy Godoy Villalobos,dbayon@mercader-moran.com,Colombia,Bucaramanga,20/8/1984
238,Esteban Mateu,lpedrosa@ferran-higueras.com,Colombia,Medellín,27/2/1961
239,Kike del Agustí,penalverreina@hotmail.com,Colombia,Medellín,30/6/1973
240,Cándida Rivas,cisnerosleonor@yahoo.com,Colombia,Barranquilla,14/4/1975
241,Haydée Perales,bustosanselma@gmail.com,Colombia,Bogotá,23/10/1999
242,Ana Royo-Castrillo,juan-carlos56@morera.org,Colombia,Cali,29/4/1973
243,Rosario Canales Cortés,viniciosolano@ramos-carrillo.es,Colombia,Cali,6/7/1980
244,Dulce Carretero Botella,pascuala90@mosquera.com,Colombia,Cali,30/6/1986
245,Amarilis Martínez,americoquiroga@yahoo.com,Colombia,Barranquilla,22/12/1990
246,Samu Chaves Carrión,gironeladio@perez.com,Colombia,Bogotá,5/1/1961
247,Conrado Salcedo Castells,donato07@dieguez.es,Colombia,Medellín,15/7/1961
248,Nilda Roldan Duque,violetaexposito@yahoo.com,Colombia,Bogotá,24/8/1969
249,Marino Hoyos Marquez,dtello@gmail.com,Colombia,Cali,14/11/1968
250,Chus Zaragoza Ibañez,epalomar@tormo.es,Colombia,Barranquilla,8/10/1971
251,Feliciano Gilabert Andreu,suarezbenita@yahoo.com,Colombia,Bogotá,6/5/1966
252,Nando de Larrea,coralpont@duran-echeverria.net,Colombia,Barranquilla,2/1/2007
253,Zaira Anaya Ortiz,piedadugarte@mendizabal.com,Colombia,Barranquilla,12/5/1975
254,Constanza Ainara Zurita Tejedor,yessica93@nino.com,Colombia,Cali,8/1/1961
255,Lázaro Cifuentes Cantero,pereirajulie@hotmail.com,Colombia,Bucaramanga,29/5/1966
256,Encarna Mora Cerezo,ptorrens@davila-palacios.net,Colombia,Cali,30/5/1980
257,Bernardo Chus Abellán Posada,eligiamonreal@giner.com,Colombia,Bucaramanga,28/10/1964
258,Fulgencio del Diez,victoriano04@iborra.com,Colombia,Barranquilla,19/11/1966
259,Amado Polo Ríos,soledadriba@yahoo.com,Colombia,Bogotá,8/9/1996
260,Armida Tello Gomis,zbeltran@marino.es,Colombia,Medellín,31/7/1964
261,Carlota Perez Cuevas,neiradorotea@tolosa.com,Colombia,Barranquilla,6/3/1963
262,Fito Fuertes Falcón,gertrudis44@gmail.com,Colombia,Medellín,8/4/1986
263,Malena Tudela-Corral,abraham61@tenorio-flores.com,Colombia,Bogotá,27/2/1971
264,Apolinar Jordi Carlos Mendez,qtorrijos@yahoo.com,Colombia,Bucaramanga,23/7/1996
265,Catalina Peláez Pizarro,victor-manuelarribas@yahoo.com,Colombia,Cali,15/6/1977
266,Silvio del Barrio,boadaguiomar@riba-gordillo.com,Colombia,Cali,8/1/1988
267,Noelia del Gutiérrez,cayetano60@hotmail.com,Colombia,Medellín,1/2/1990
268,Celso Galán Fernández,rodacayetano@rozas.org,Colombia,Medellín,3/2/1964
269,Guillermo Puerta Moreno,yalberola@hotmail.com,Colombia,Medellín,26/9/1987
270,Candelario Cabrera Camacho,rufina85@laguna-pinol.es,Colombia,Bogotá,2/4/1971
271,Heriberto Cobo-Querol,smunoz@aviles.es,Colombia,Cali,27/11/1960
272,Salomé Mateo Mercader,ocabello@gmail.com,Colombia,Bucaramanga,7/9/1989
273,Edelmira Riera Borrell,agalvan@tormo.com,Colombia,Barranquilla,14/9/1980
274,Graciana Cerdá,guadalupefont@ibanez.es,Colombia,Cali,25/6/2007
275,Emigdio Pedrosa,rcasals@gmail.com,Colombia,Bogotá,16/10/1992
276,Itziar Carmen Sánchez Olmo,pilarjordan@hotmail.com,Colombia,Bucaramanga,26/5/1961
277,Amarilis Cánovas Gargallo,inesgabaldon@recio-vilanova.com,Colombia,Bucaramanga,14/7/1968
278,Marcelo Aguirre Goicoechea,leticia46@yahoo.com,Colombia,Bucaramanga,5/9/1976
279,Joan Matas,aguileraariadna@hotmail.com,Colombia,Bucaramanga,1/8/2003
280,María Fernanda Elisabet Martín Campoy,navarreteleonel@hotmail.com,Colombia,Medellín,20/4/1977
281,Ciríaco Carlito Villar Hernandez,rmontenegro@amigo.es,Colombia,Cali,6/1/1988
282,Gala Aranda Falcó,itziartamarit@hotmail.com,Colombia,Medellín,17/12/1979
283,Sosimo Escrivá Marin,vcastellanos@espana-narvaez.com,Colombia,Barranquilla,23/9/1974
284,Humberto Rufino Muñoz Peral,abigail17@gmail.com,Colombia,Cali,8/10/1972
285,Azeneth Pizarro,jbalaguer@gmail.com,Colombia,Bucaramanga,18/5/1987
286,Virginia Seco-Clemente,melaniaberrocal@yahoo.com,Colombia,Barranquilla,25/7/1971
287,Melisa Barco Acuña,hugo29@gmail.com,Colombia,Cali,10/7/1965
288,Marino Roura Román,ytejada@gmail.com,Colombia,Barranquilla,6/2/1973
289,Adoración Montserrat Farré,ibarrajaime@ocana.com,Colombia,Bucaramanga,4/8/1999
290,Celso Anacleto Arroyo Martí,mvina@hotmail.com,Colombia,Bogotá,8/4/2006
291,Francisco Javier Trillo Palomar,victoriaquintanilla@gracia.com,Colombia,Bucaramanga,8/1/1961
292,Ligia Dominguez-Casal,perezsarita@hotmail.com,Colombia,Bogotá,2/12/1995
293,Amanda Martirio Asensio Campoy,carmonasigfrido@pinto-casals.org,Colombia,Bucaramanga,13/12/1969
294,Ovidio Agustí,qcabrero@hotmail.com,Colombia,Medellín,29/9/2000
295,Hugo Calvo Vidal,danilo17@folch.net,Colombia,Bogotá,1/6/1987
296,Cecilio Alex Valderrama Galiano,joel00@hotmail.com,Colombia,Cali,8/8/1998
297,Brígida Bosch Vidal,jaenfidela@saura.org,Colombia,Bogotá,28/4/1966
298,Ulises Ariza Manso,teodosio11@gmail.com,Colombia,Medellín,2/9/2004
299,Fidel Pallarès Río,peraltaofelia@yahoo.com,Colombia,Barranquilla,21/10/1986
300,Jessica Llabrés Pol,hdiaz@gmail.com,Colombia,Cali,3/8/1966
301,Zaida Tolosa Ríos,npalmer@castrillo.es,Colombia,Cali,9/7/1989
