Nombre,Email,Pais,Ciudad,Fecha_cumpleaños
Rafa Márquez Requena,feliciano16@sosa.net,Colombia,Barranquilla,1980-04-19
Dani de Ferrando,leon14@yahoo.com,Colombia,Barranquilla,1996-01-08
Albina Carlos Julián,antonio19@ojeda-mir.es,Colombia,Barranquilla,1998-10-08
Edu Arregui,vizcainoangela@hotmail.com,Colombia,Barranquilla,1988-11-17
Nazaret Murillo Mir,anunciacion46@quevedo-marques.com,Colombia,Bucaramanga,2004-10-11
Nicolasa Dávila Mascaró,mateuluciano@gmail.com,Colombia,Bucaramanga,1998-12-31
Morena Estrella Sola Sala,ariadnasaenz@hotmail.com,Colombia,Bogotá,1965-04-20
José Ángel Natanael Naranjo Bueno,jafet32@arteaga.es,Colombia,Cali,1987-09-25
Charo Plana-Urrutia,eusebioadan@gmail.com,Colombia,Medellín,1971-07-02
Jordana Ayllón,sastreeliseo@molins-salas.es,Colombia,Bogotá,1991-11-01
Dora Huertas Lluch,leonardosabater@gmail.com,Colombia,Bucaramanga,1978-01-08
Esther Berrocal Chacón,rodolfocorominas@gargallo.es,Colombia,Medellín,1991-03-28
Ana Gabaldón Rivera,pintoralbina@gmail.com,Colombia,Barranquilla,1986-01-26
Lupita Giménez Torrents,tristan70@navarrete-quiroga.com,Colombia,Medellín,2001-11-16
Alba del Amores,dcerda@ayllon.es,Colombia,Bogotá,1990-06-22
Evangelina Pinilla Lobo,perlita17@gmail.com,Colombia,Medellín,1974-10-16
Rosario Arjona Anguita,primitivaalmagro@corominas.es,Colombia,Cali,1974-05-13
Odalis Jaén Peinado,cespedesmaria@amigo.es,Colombia,Bucaramanga,1973-01-10
Manu Herrero Cal,armengolovidio@hotmail.com,Colombia,Cali,1984-09-30
José Luis Nogueira Alberola,bcamacho@yahoo.com,Colombia,Bogotá,1969-12-10
Carmen Vélez León,uruano@hotmail.com,Colombia,Bogotá,1976-03-27
Emilio Sanmartín Hervás,bnavarrete@yahoo.com,Colombia,Bucaramanga,1992-09-16
Galo Jordán,silvia94@hotmail.com,Colombia,Medellín,1972-07-13
Dionisio Ramos Torres,ctudela@buendia.net,Colombia,Barranquilla,1976-02-02
Natanael Luis Ángel Peinado Sáenz,wmuro@hotmail.com,Colombia,Cali,1980-05-25
David Carrillo-Fernández,estevegregorio@gmail.com,Colombia,Cali,1999-08-27
María Luna,manugordillo@escobar-mate.com,Colombia,Bogotá,1962-08-18
Leonel Manzano Cases,alberolaconsuela@yahoo.com,Colombia,Cali,1989-07-03
Catalina Aznar Iriarte,bassalvador@yahoo.com,Colombia,Bogotá,2002-05-13
Carlos Company Mateu,diegorico@gonzalez.es,Colombia,Barranquilla,1999-07-31
Encarnación Barrena Cabezas,juan-luisbertran@heredia.com,Colombia,Barranquilla,1987-05-01
Noemí Soriano Manuel,luisluna@santiago.org,Colombia,Medellín,1967-05-05
Coral de Larrañaga,barredafito@malo-saavedra.com,Colombia,Bucaramanga,1980-03-23
Elena Vall Uribe,arinotamara@yahoo.com,Colombia,Bucaramanga,1976-07-26
Artemio Granados Almansa,diezadoracion@hotmail.com,Colombia,Medellín,1971-11-18
Isa Téllez-Bou,sebastian55@hotmail.com,Colombia,Bogotá,1981-12-22
Nélida Valbuena Maldonado,sanzchus@yahoo.com,Colombia,Cali,1967-06-03
Teresa Vilar Abella,mballester@hotmail.com,Colombia,Medellín,1993-06-15
Pía Aznar Frutos,aureamaestre@yahoo.com,Colombia,Medellín,1961-06-30
Rosalía Dafne Cuadrado Mercader,obuendia@serrano.com,Colombia,Medellín,1979-05-24
Olalla Llano,psureda@yahoo.com,Colombia,Medellín,1972-07-02
Liliana Piedad Cerezo Baños,ynieto@hotmail.com,Colombia,Bucaramanga,1978-10-12
Silvio Lázaro Tovar Comas,vochoa@hotmail.com,Colombia,Barranquilla,1981-06-05
Paco Haro,robertareig@gmail.com,Colombia,Barranquilla,1991-09-19
Gabriela Cornejo Valbuena,animarmol@sacristan.es,Colombia,Barranquilla,1969-05-05
Tomasa Cortes Benavides,nilo96@hotmail.com,Colombia,Bogotá,2005-06-03
Fortunata del Torrents,guitartevangelina@madrigal.es,Colombia,Bucaramanga,2002-08-28
Iván Delgado Marí,moratanatividad@marcos.es,Colombia,Medellín,1976-02-24
Guiomar Escolano,cayetanopineiro@hernando.net,Colombia,Bogotá,1976-10-24
Dominga Agustí Sola,candelariosala@yahoo.com,Colombia,Bogotá,1988-05-28
Javier Matas-Flor,pcampillo@yahoo.com,Colombia,Cali,1979-08-31
Aitor Severino Priego Llobet,valdespepita@grau-ortuno.net,Colombia,Medellín,1976-08-02
Mauricio Caballero Ariza,laragones@yahoo.com,Colombia,Barranquilla,1979-08-13
Piedad Ribes Echevarría,miriampaz@valls.org,Colombia,Medellín,1979-08-13
Rosaura Cardona Solís,mariselagonzalez@puerta.es,Colombia,Cali,1996-01-17
Javi Pedrosa Juárez,candido37@gmail.com,Colombia,Bucaramanga,1974-08-06
Maximino Simó Matas,chavesartemio@gmail.com,Colombia,Barranquilla,1967-06-08
Desiderio Cerdá Pont,herminia86@hotmail.com,Colombia,Barranquilla,2004-02-06
Sigfrido Tovar Raya,pellicerisaac@yahoo.com,Colombia,Bucaramanga,1984-03-18
Olegario Pedrero Palmer,mllorente@sanz.net,Colombia,Medellín,1982-03-24
Bernardino de Bayona,odalisguijarro@coloma-acedo.org,Colombia,Bogotá,1996-04-17
Sabas Díaz-Canet,albinopalma@morante.com,Colombia,Bucaramanga,1968-02-27
Lucila Carballo Bartolomé,gparedes@hotmail.com,Colombia,Bogotá,1993-10-25
Marino de Vázquez,danguita@yahoo.com,Colombia,Bucaramanga,2006-03-22
Jose Luis Salcedo Beltrán,ema21@llopis.es,Colombia,Barranquilla,1995-08-21
Javi José Antonio Ros Cabezas,titosanmiguel@riba.es,Colombia,Cali,1966-01-01
Inmaculada Milla Jara,jacintasanchez@gmail.com,Colombia,Bogotá,1965-11-16
Ariadna Peralta Castillo,herminia16@rocha-aznar.org,Colombia,Medellín,1966-08-01
Lilia Garcia-Cortes,rebecacampoy@yahoo.com,Colombia,Barranquilla,1978-06-27
Coral Romeu-Amo,escribanoleandro@hotmail.com,Colombia,Bogotá,1983-06-02
Cipriano Clemente Pérez,manuanglada@garrido.es,Colombia,Cali,1970-03-30
Esperanza Morata Blazquez,faustoayala@bilbao.es,Colombia,Cali,1989-08-12
Elena Garriga Vila,tito14@torrecilla.com,Colombia,Cali,2000-04-25
Abraham Fuente Mata,maria-cristinajaume@mosquera-carretero.com,Colombia,Bucaramanga,1988-11-01
Berto Pinto Grau,puertarosalva@hotmail.com,Colombia,Medellín,1960-10-21
Águeda Bermejo Millán,srios@gmail.com,Colombia,Bucaramanga,1981-08-19
Salvador Seguí Paredes,pcamacho@perez-zamora.com,Colombia,Barranquilla,1982-08-20
Flavio de Benito,vicentaolmedo@coloma-guzman.com,Colombia,Cali,1972-12-15
Marcial Coronado Benet,wsimo@sanchez.com,Colombia,Medellín,1991-06-11
Melania Mateo Llobet,anunciacion14@sans-arellano.com,Colombia,Medellín,1964-10-02
Marino Vendrell Planas,sandovalvioleta@hotmail.com,Colombia,Bogotá,2000-09-13
Leyre Contreras Barrio,nunezlidia@gmail.com,Colombia,Bogotá,1976-05-22
Isabel Zamora Yáñez,ramon46@neira-badia.es,Colombia,Bucaramanga,1965-12-17
Nidia del Luz,nazariobertran@hotmail.com,Colombia,Medellín,1980-08-22
Belén Blazquez Menendez,odalis28@gmail.com,Colombia,Bucaramanga,1984-02-26
Gerardo Mendizábal Escribano,maria-dolores73@cervantes.com,Colombia,Bogotá,1966-05-31
Regina Zurita,sarita92@penas.com,Colombia,Bogotá,1989-04-25
Hernán Pastor Gámez,marina73@hotmail.com,Colombia,Bucaramanga,1991-06-13
Gerónimo Saez,mayte68@hotmail.com,Colombia,Barranquilla,1973-02-13
Bernardita Trini Ibáñez Azorin,casandra18@gmail.com,Colombia,Bucaramanga,1970-06-10
Jafet Vilanova-Colom,gironaolga@yahoo.com,Colombia,Medellín,1987-10-07
Hector Vallés Pereira,xbilbao@anaya.com,Colombia,Cali,1969-06-21
Alejo Madrid Sureda,nsanabria@bernad.org,Colombia,Medellín,1996-11-16
Lucía Ileana Cantero Maldonado,domingo03@sebastian-barros.com,Colombia,Bucaramanga,1996-01-04
Maximiano Villalba Herranz,timoteo09@hernandez-riera.com,Colombia,Medellín,1984-01-26
Juan José Vera Vera,csoriano@pombo.com,Colombia,Barranquilla,1964-02-17
Dalila Calleja Márquez,ortunocarina@diez-sobrino.es,Colombia,Cali,1968-09-15
Pepito Seco Arco,armandoflores@gmail.com,Colombia,Barranquilla,1994-08-08
Sabina Sáenz Isern,luchopalau@marmol.com,Colombia,Bucaramanga,1986-10-02
Visitación Pomares Nicolau,xvalencia@lasa.com,Colombia,Barranquilla,1971-10-24
Emilia del Calderon,gertrudis44@rojas-diaz.es,Colombia,Barranquilla,1962-05-31
María Luisa Royo Llobet,ramisprudencio@cuesta.es,Colombia,Bogotá,1964-02-09
Roque del Paredes,corraliris@yahoo.com,Colombia,Bogotá,1989-09-28
Luciano Cervantes Ávila,pmiralles@yahoo.com,Colombia,Bogotá,1961-04-18
Josep Villaverde Pombo,matilde47@machado.es,Colombia,Medellín,1968-10-07
Jaime Duque Salgado,guadalupe51@manrique.com,Colombia,Bogotá,1974-10-16
Cornelio Chamorro Guzmán,paniaguacasandra@hotmail.com,Colombia,Bogotá,1997-01-26
Mariano Boix Bastida,htejero@yahoo.com,Colombia,Bogotá,1964-07-20
Federico Benavent Sandoval,eduardo89@gmail.com,Colombia,Barranquilla,1993-10-01
Severo Casanova Villegas,fidel25@gomis.org,Colombia,Medellín,1972-11-21
Eli de Mateo,doracorrea@nebot.com,Colombia,Cali,1962-08-16
Dulce Galvez-Riera,pmanjon@tomas-hierro.es,Colombia,Medellín,1964-06-30
Cayetano Sabater Ricart,vfrias@hotmail.com,Colombia,Barranquilla,1981-04-05
Gloria Castrillo Pellicer,jose-antonio71@sancho-huguet.com,Colombia,Cali,1979-04-13
Teresa Ripoll Hurtado,crescencia53@valentin.es,Colombia,Bogotá,1993-05-18
Artemio Pozuelo Vega,ildefonsoosorio@gmail.com,Colombia,Bogotá,1993-03-17
Vera Soledad Sosa Macias,rosaeloy@paz-quintana.es,Colombia,Barranquilla,1963-01-05
Mar Ferreras-Pareja,pomaresanna@yahoo.com,Colombia,Medellín,2005-10-31
Azahara Belen Caballero Prada,celestina52@gmail.com,Colombia,Medellín,1962-04-09
Alejo Cerro Mínguez,mcompany@hotmail.com,Colombia,Medellín,2001-04-01
Candelas Pozo Martínez,emari@gmail.com,Colombia,Medellín,2005-05-20
Horacio Mena Amor,gabriela99@gmail.com,Colombia,Medellín,1992-03-23
Juan Francisco Pinto Coloma,canetgraciano@sainz.es,Colombia,Barranquilla,2006-07-09
Hernán Valls,cerveraaurelia@gmail.com,Colombia,Cali,1992-01-31
Florina Mir,inoriega@lamas-tome.net,Colombia,Medellín,1997-07-05
Daniel Eustaquio Malo Galan,alexandra58@hotmail.com,Colombia,Barranquilla,1967-10-29
Nicolasa Pino-Prat,luis-angelarnal@yahoo.com,Colombia,Bogotá,1989-08-20
Raúl Tello-Gargallo,chita42@heras.com,Colombia,Bucaramanga,1975-05-18
Aureliano Reyes Murillo,cervantesadelardo@hotmail.com,Colombia,Bucaramanga,2003-12-17
Judith Flores Madrigal,flavia01@hotmail.com,Colombia,Cali,1962-01-26
Horacio Echeverría Arce,vestrada@yahoo.com,Colombia,Bucaramanga,1979-11-02
María Cristina Campo-Naranjo,fzamora@gmail.com,Colombia,Cali,1972-08-26
Fito Cámara Segarra,albertonavas@yahoo.com,Colombia,Bogotá,2001-02-08
Sarita Roma Villalba,perezhaydee@gmail.com,Colombia,Bogotá,1992-01-09
Diana Agudo Julián,victorianolasa@yahoo.com,Colombia,Bogotá,1998-07-07
Eladio Palomares Guzman,solanamarino@ramirez.org,Colombia,Cali,1979-08-11
María Luisa Giner Gilabert,dcoronado@pereira.net,Colombia,Bucaramanga,2000-01-29
Juan José Salom Álvarez,caparrosbernabe@hotmail.com,Colombia,Medellín,1996-01-19
Celestino Mosquera Viña,fuertesliliana@hotmail.com,Colombia,Cali,1994-04-06
Rufina Baquero Santana,ksaura@sevilla.org,Colombia,Bogotá,1976-11-05
Ramón Gibert Beltran,socana@barrena.es,Colombia,Barranquilla,1987-05-10
Rodrigo Cerdá Rivera,ysanabria@yahoo.com,Colombia,Medellín,2004-07-25
Benita del Carrasco,iangel@gisbert.org,Colombia,Cali,1996-07-31
Luisina Pinilla Gras,joliva@fabregat-carbajo.com,Colombia,Barranquilla,1960-08-05
Cristian de Cabrero,patienza@arregui.net,Colombia,Medellín,1963-05-16
José Mancebo Guillén,jordi42@hotmail.com,Colombia,Bogotá,1979-12-24
Américo Díez-Roldán,ocanafernanda@hotmail.com,Colombia,Cali,1995-03-22
Obdulia Rico Real,renato28@hernando-gomis.org,Colombia,Bucaramanga,1991-01-15
Lisandro Rey Riera,qherrero@murillo.com,Colombia,Bucaramanga,1965-10-28
Paloma de Aznar,eariza@gmail.com,Colombia,Cali,1973-09-29
Encarnacion Alcántara Galán,tejeroyaiza@fuente.net,Colombia,Bucaramanga,1978-10-17
Josefa Palomar Mendez,armida77@gmail.com,Colombia,Barranquilla,1981-04-28
Gil Milla,giraltmanuela@gmail.com,Colombia,Bucaramanga,1997-03-08
Marina Rios-Marquez,narcisograu@hoyos-valera.es,Colombia,Bucaramanga,1992-10-12
Jimena Diéguez Ortuño,lolatorres@barral.com,Colombia,Bucaramanga,1962-10-31
Hilario Cervantes Guardia,agapitogil@sarmiento.es,Colombia,Bogotá,1959-12-25
Mamen del Albero,blanca40@ros.com,Colombia,Bucaramanga,1972-08-04
Lucila Dolores Pablo Lastra,pereasantiago@yahoo.com,Colombia,Bogotá,1974-11-25
Octavio Severiano Berrocal Angulo,ypinilla@tamarit.com,Colombia,Bogotá,1989-01-21
Marcia Bustos Álvarez,hectortalavera@artigas-benavente.org,Colombia,Bogotá,1980-12-06
Cristóbal Cobos Puig,fermin93@porcel.com,Colombia,Cali,1983-01-25
Augusto Ruiz Guerra,elodia99@morera-andreu.org,Colombia,Bogotá,1975-01-21
Manola Perez Rosales,xboada@marquez.com,Colombia,Cali,1985-05-22
Rafael Porras Moliner,bravoadelardo@yahoo.com,Colombia,Bogotá,1977-11-21
Blas Bonet Exposito,avila@gmail.com,Colombia,Cali,1983-08-13
Araceli del Plaza,severiano61@herrero.es,Colombia,Barranquilla,1977-10-31
Eloy Jose Manuel Coello Barroso,allorente@tome-benitez.es,Colombia,Medellín,2002-01-24
Martirio Ferrán Seco,marcoagudo@marquez-pinto.es,Colombia,Barranquilla,1988-11-01
Bernarda Emperatriz Montes Font,galo65@yahoo.com,Colombia,Cali,1976-01-11
Florina Lozano Pozo,folchdora@hotmail.com,Colombia,Barranquilla,1996-12-18
Prudencio Serrano Gallego,paz16@hotmail.com,Colombia,Bucaramanga,2002-08-18
Dionisio Edmundo Correa Rocha,sanchezelba@yahoo.com,Colombia,Bucaramanga,1994-01-02
Macaria Arco Palomares,hurtadogema@padilla.es,Colombia,Bogotá,1988-10-28
Adelardo Cabello Jordán,victor-manuelperello@sierra-vall.com,Colombia,Barranquilla,1992-05-20
Eusebio Ricart Boada,pablomesa@sarabia-gabaldon.es,Colombia,Bucaramanga,1966-03-05
Palmira Santamaria Montaña,arsenio10@canales-cordoba.net,Colombia,Cali,1970-06-06
Manuelita Roldan Sevilla,lespinosa@rosell.net,Colombia,Bucaramanga,1988-10-05
Adela Garmendia Fuster,calnerea@hotmail.com,Colombia,Medellín,1981-09-18
Jenaro Carbonell,oalamo@yahoo.com,Colombia,Bogotá,1986-03-30
Aurora Oliveras-Ortiz,odalysmartorell@hotmail.com,Colombia,Bogotá,1968-08-24
Azahara Gómez Mayoral,raulcid@pont.es,Colombia,Cali,1992-08-25
Nélida de Diaz,enrique25@yahoo.com,Colombia,Medellín,1960-03-08
Bernarda Ferrero Plana,atellez@hotmail.com,Colombia,Barranquilla,1970-11-30
Lorenzo Anguita Giménez,llobetjafet@hotmail.com,Colombia,Bogotá,1990-08-26
Perlita Valbuena-Vicente,lealmatilde@pedraza.net,Colombia,Barranquilla,2004-01-06
Eustaquio de Sandoval,rosalva17@gmail.com,Colombia,Bogotá,1999-07-16
Teodora Roman Daza,odalysgabaldon@orozco.org,Colombia,Bucaramanga,2007-06-11
Espiridión Luciano Lastra Vilar,maricelareina@lluch.com,Colombia,Bucaramanga,1969-06-25
Saturnina Huertas Pozo,crescencialeiva@hotmail.com,Colombia,Bucaramanga,1990-04-16
Maximiliano Buendía Quintana,walter75@hotmail.com,Colombia,Bucaramanga,1965-11-14
Mercedes Palma Barroso,timoteogalan@yahoo.com,Colombia,Medellín,1978-10-30
Maite Castrillo Toro,arteagaconrado@hotmail.com,Colombia,Bogotá,1967-12-26
Isidro Sastre Abascal,jennifercatalan@hotmail.com,Colombia,Cali,1978-03-06
Nacio Palomo Ibáñez,graciana20@mayoral-guillen.es,Colombia,Bogotá,1966-01-03
Custodio Tapia Bermejo,aureliasalgado@aguilo.es,Colombia,Medellín,2006-10-05
Jorge Belda Granados,calatayudcristian@yahoo.com,Colombia,Barranquilla,1968-11-11
Remedios Cañas Clavero,cordobavalerio@garces-cordero.es,Colombia,Medellín,1965-06-06
Buenaventura Casal Plana,ymiranda@gmail.com,Colombia,Cali,2003-05-26
Edelmiro López Amor,auravergara@gmail.com,Colombia,Cali,2003-07-03
Ruben Heras Uría,hernandoangelina@hotmail.com,Colombia,Barranquilla,1960-05-08
Ester Catalán Pombo,carina27@gmail.com,Colombia,Barranquilla,1964-02-16
Eleuterio Garriga Ariño,svelazquez@vallejo.es,Colombia,Barranquilla,1996-01-17
María Manuela de Lobato,cayetano83@morillo.com,Colombia,Bogotá,1989-04-20
Ambrosio de Boix,santanaemma@hotmail.com,Colombia,Barranquilla,2004-11-09
Benito Alberola Cervantes,anabeloliver@villar.es,Colombia,Bucaramanga,1977-10-27
Rogelio Andreu Naranjo,azucena14@hotmail.com,Colombia,Medellín,1990-07-05
Fernanda Baquero,quirinocriado@yahoo.com,Colombia,Bucaramanga,2005-05-28
Danilo Verdú Acedo,hidalgoarturo@pascual-pinol.com,Colombia,Bogotá,1997-02-25
Consuelo Montserrat Hurtado,kike19@yahoo.com,Colombia,Bogotá,2005-05-08
Chuy Godoy Villalobos,dbayon@mercader-moran.com,Colombia,Bucaramanga,1984-08-20
Esteban Mateu,lpedrosa@ferran-higueras.com,Colombia,Medellín,1961-02-27
Kike del Agustí,penalverreina@hotmail.com,Colombia,Medellín,1973-06-30
Cándida Rivas,cisnerosleonor@yahoo.com,Colombia,Barranquilla,1975-04-14
Haydée Perales,bustosanselma@gmail.com,Colombia,Bogotá,1999-10-23
Ana Royo-Castrillo,juan-carlos56@morera.org,Colombia,Cali,1973-04-29
Rosario Canales Cortés,viniciosolano@ramos-carrillo.es,Colombia,Cali,1980-07-06
Dulce Carretero Botella,pascuala90@mosquera.com,Colombia,Cali,1986-06-30
Amarilis Martínez,americoquiroga@yahoo.com,Colombia,Barranquilla,1990-12-22
Samu Chaves Carrión,gironeladio@perez.com,Colombia,Bogotá,1961-01-05
Conrado Salcedo Castells,donato07@dieguez.es,Colombia,Medellín,1961-07-15
Nilda Roldan Duque,violetaexposito@yahoo.com,Colombia,Bogotá,1969-08-24
Marino Hoyos Marquez,dtello@gmail.com,Colombia,Cali,1968-11-14
Chus Zaragoza Ibañez,epalomar@tormo.es,Colombia,Barranquilla,1971-10-08
Feliciano Gilabert Andreu,suarezbenita@yahoo.com,Colombia,Bogotá,1966-05-06
Nando de Larrea,coralpont@duran-echeverria.net,Colombia,Barranquilla,2007-01-02
Zaira Anaya Ortiz,piedadugarte@mendizabal.com,Colombia,Barranquilla,1975-05-12
Constanza Ainara Zurita Tejedor,yessica93@nino.com,Colombia,Cali,1961-01-08
Lázaro Cifuentes Cantero,pereirajulie@hotmail.com,Colombia,Bucaramanga,1966-05-29
Encarna Mora Cerezo,ptorrens@davila-palacios.net,Colombia,Cali,1980-05-30
Bernardo Chus Abellán Posada,eligiamonreal@giner.com,Colombia,Bucaramanga,1964-10-28
Fulgencio del Diez,victoriano04@iborra.com,Colombia,Barranquilla,1966-11-19
Amado Polo Ríos,soledadriba@yahoo.com,Colombia,Bogotá,1996-09-08
Armida Tello Gomis,zbeltran@marino.es,Colombia,Medellín,1964-07-31
Carlota Perez Cuevas,neiradorotea@tolosa.com,Colombia,Barranquilla,1963-03-06
Fito Fuertes Falcón,gertrudis44@gmail.com,Colombia,Medellín,1986-04-08
Malena Tudela-Corral,abraham61@tenorio-flores.com,Colombia,Bogotá,1971-02-27
Apolinar Jordi Carlos Mendez,qtorrijos@yahoo.com,Colombia,Bucaramanga,1996-07-23
Catalina Peláez Pizarro,victor-manuelarribas@yahoo.com,Colombia,Cali,1977-06-15
Silvio del Barrio,boadaguiomar@riba-gordillo.com,Colombia,Cali,1988-01-08
Noelia del Gutiérrez,cayetano60@hotmail.com,Colombia,Medellín,1990-02-01
Celso Galán Fernández,rodacayetano@rozas.org,Colombia,Medellín,1964-02-03
Guillermo Puerta Moreno,yalberola@hotmail.com,Colombia,Medellín,1987-09-26
Candelario Cabrera Camacho,rufina85@laguna-pinol.es,Colombia,Bogotá,1971-04-02
Heriberto Cobo-Querol,smunoz@aviles.es,Colombia,Cali,1960-11-27
Salomé Mateo Mercader,ocabello@gmail.com,Colombia,Bucaramanga,1989-09-07
Edelmira Riera Borrell,agalvan@tormo.com,Colombia,Barranquilla,1980-09-14
Graciana Cerdá,guadalupefont@ibanez.es,Colombia,Cali,2007-06-25
Emigdio Pedrosa,rcasals@gmail.com,Colombia,Bogotá,1992-10-16
Itziar Carmen Sánchez Olmo,pilarjordan@hotmail.com,Colombia,Bucaramanga,1961-05-26
Amarilis Cánovas Gargallo,inesgabaldon@recio-vilanova.com,Colombia,Bucaramanga,1968-07-14
Marcelo Aguirre Goicoechea,leticia46@yahoo.com,Colombia,Bucaramanga,1976-09-05
Joan Matas,aguileraariadna@hotmail.com,Colombia,Bucaramanga,2003-08-01
María Fernanda Elisabet Martín Campoy,navarreteleonel@hotmail.com,Colombia,Medellín,1977-04-20
Ciríaco Carlito Villar Hernandez,rmontenegro@amigo.es,Colombia,Cali,1988-01-06
Gala Aranda Falcó,itziartamarit@hotmail.com,Colombia,Medellín,1979-12-17
Sosimo Escrivá Marin,vcastellanos@espana-narvaez.com,Colombia,Barranquilla,1974-09-23
Humberto Rufino Muñoz Peral,abigail17@gmail.com,Colombia,Cali,1972-10-08
Azeneth Pizarro,jbalaguer@gmail.com,Colombia,Bucaramanga,1987-05-18
Virginia Seco-Clemente,melaniaberrocal@yahoo.com,Colombia,Barranquilla,1971-07-25
Melisa Barco Acuña,hugo29@gmail.com,Colombia,Cali,1965-07-10
Marino Roura Román,ytejada@gmail.com,Colombia,Barranquilla,1973-02-06
Adoración Montserrat Farré,ibarrajaime@ocana.com,Colombia,Bucaramanga,1999-08-04
Celso Anacleto Arroyo Martí,mvina@hotmail.com,Colombia,Bogotá,2006-04-08
Francisco Javier Trillo Palomar,victoriaquintanilla@gracia.com,Colombia,Bucaramanga,1961-01-08
Ligia Dominguez-Casal,perezsarita@hotmail.com,Colombia,Bogotá,1995-12-02
Amanda Martirio Asensio Campoy,carmonasigfrido@pinto-casals.org,Colombia,Bucaramanga,1969-12-13
Ovidio Agustí,qcabrero@hotmail.com,Colombia,Medellín,2000-09-29
Hugo Calvo Vidal,danilo17@folch.net,Colombia,Bogotá,1987-06-01
Cecilio Alex Valderrama Galiano,joel00@hotmail.com,Colombia,Cali,1998-08-08
Brígida Bosch Vidal,jaenfidela@saura.org,Colombia,Bogotá,1966-04-28
Ulises Ariza Manso,teodosio11@gmail.com,Colombia,Medellín,2004-09-02
Fidel Pallarès Río,peraltaofelia@yahoo.com,Colombia,Barranquilla,1986-10-21
Jessica Llabrés Pol,hdiaz@gmail.com,Colombia,Cali,1966-08-03
Zaida Tolosa Ríos,npalmer@castrillo.es,Colombia,Cali,1989-07-09
Amílcar Jurado Miralles,haydeeneira@zabala.net,Colombia,Barranquilla,2004-09-11
Brígida Ballester Alberdi,kvalcarcel@tur.net,Colombia,Cali,1962-12-16
Consuelo Pinedo,cayetanosegovia@yahoo.com,Colombia,Barranquilla,1993-06-14
Estela Carrera Valencia,quintanillaseve@abad.org,Colombia,Bucaramanga,2005-03-23
Evita Parra Ballester,jmarmol@suarez.com,Colombia,Barranquilla,2004-05-15
Abel del Padilla,judith10@gmail.com,Colombia,Bogotá,1987-05-18
Edu Ferrández Expósito,dgarriga@neira.es,Colombia,Cali,2005-04-09
Beatriz Sanjuan-Sebastián,hacosta@atienza.com,Colombia,Medellín,1968-04-07
Guillermo Montserrat Varela,rhurtado@yahoo.com,Colombia,Bogotá,1990-05-07
Bruno Rey Vila,leonor83@gmail.com,Colombia,Bogotá,1979-04-22
Águeda Cazorla Enríquez,ortunochita@yahoo.com,Colombia,Cali,1995-11-12
Valentín Teo Rocamora Alberto,piquerespiridion@barbero.org,Colombia,Bucaramanga,2006-01-13
Camilo Barrios-Marquez,palmerodalys@calatayud-gomez.es,Colombia,Medellín,2006-11-26
Osvaldo Nazaret Arévalo Pizarro,jmilla@gmail.com,Colombia,Bogotá,1976-08-20
